"","features","expr","time","size"
"413",5,"l2svm_their()",1097799468,2500
"414",5,"l2svm_their()",1097536326,2500
"415",5,"l1svm_ours()",365027671,2750
"416",5,"l2svm_their()",848062504,2750
"417",5,"l1svm_ours()",289030157,2750
"418",5,"l2svm_their()",650602194,2750
"419",5,"l1svm_their()",80224630,2750
"420",5,"l1svm_their()",86021607,2750
"421",5,"l1svm_their()",79700873,2750
"422",5,"l1svm_ours()",298347269,2750
"423",5,"l2svm_their()",618161953,2750
"424",5,"l1svm_their()",62531170,3000
"425",5,"l1svm_their()",75168962,3000
"426",5,"l1svm_their()",75296880,3000
"427",5,"l1svm_ours()",280198533,3000
"428",5,"l2svm_their()",1333179312,3000
"429",5,"l2svm_their()",1798728916,3000
"430",5,"l2svm_their()",1258841130,3000
"431",5,"l1svm_ours()",283451414,3000
"432",5,"l1svm_ours()",306493402,3000
"433",5,"l2svm_their()",1400085840,3250
"434",5,"l1svm_ours()",707378962,3250
"435",5,"l1svm_their()",233161869,3250
"436",5,"l1svm_ours()",552252971,3250
"437",5,"l2svm_their()",1572445888,3250
"438",5,"l1svm_their()",235682302,3250
"439",5,"l1svm_their()",251491521,3250
"440",5,"l1svm_ours()",678130591,3250
"441",5,"l2svm_their()",1571631744,3250
"442",5,"l1svm_ours()",1480020143,3500
"443",5,"l2svm_their()",1440055649,3500
"444",5,"l1svm_ours()",1051204240,3500
"445",5,"l1svm_their()",241985844,3500
"446",5,"l2svm_their()",1487658938,3500
"447",5,"l1svm_their()",359783760,3500
"448",5,"l1svm_ours()",1258473873,3500
"449",5,"l1svm_their()",266062489,3500
"450",5,"l2svm_their()",2701393747,3500
"451",5,"l1svm_their()",638316539,3750
"452",5,"l1svm_their()",465753454,3750
"453",5,"l2svm_their()",2852033139,3750
"454",5,"l2svm_their()",1515361169,3750
"455",5,"l1svm_ours()",1409638746,3750
"456",5,"l1svm_ours()",1137959151,3750
"457",5,"l2svm_their()",1568196313,3750
"458",5,"l1svm_ours()",1460469838,3750
"459",5,"l1svm_their()",240697094,3750
"460",5,"l1svm_their()",327014847,4000
"461",5,"l1svm_their()",300596133,4000
"462",5,"l1svm_their()",233150366,4000
"463",5,"l1svm_ours()",506309147,4000
"464",5,"l1svm_ours()",469364848,4000
"465",5,"l1svm_ours()",455546961,4000
"466",5,"l2svm_their()",538704995,4000
"467",5,"l2svm_their()",507200632,4000
"468",5,"l2svm_their()",603937356,4000
"469",6,"l2svm_their()",203788939,1000
"470",6,"l1svm_ours()",356386796,1000
"471",6,"l1svm_ours()",365323967,1000
"472",6,"l1svm_their()",69309492,1000
"473",6,"l1svm_their()",186465128,1000
"474",6,"l1svm_their()",157920827,1000
"475",6,"l2svm_their()",423988599,1000
"476",6,"l2svm_their()",259474191,1000
"477",6,"l1svm_ours()",323042986,1000
"478",6,"l2svm_their()",518861389,1250
"479",6,"l1svm_their()",124060735,1250
"480",6,"l1svm_their()",184874871,1250
"481",6,"l1svm_ours()",780295062,1250
"482",6,"l1svm_ours()",724833842,1250
"483",6,"l1svm_ours()",444326171,1250
"484",6,"l2svm_their()",204124133,1250
"485",6,"l1svm_their()",132713229,1250
"486",6,"l2svm_their()",412029277,1250
"487",6,"l1svm_ours()",9524366576,1500
"488",6,"l1svm_ours()",6667353381,1500
"489",6,"l1svm_their()",312026829,1500
"490",6,"l1svm_ours()",5515217269,1500
"491",6,"l2svm_their()",543684901,1500
"492",6,"l1svm_their()",187468996,1500
"493",6,"l2svm_their()",809707960,1500
"494",6,"l2svm_their()",666061166,1500
"495",6,"l1svm_their()",201015104,1500
"496",6,"l2svm_their()",1044626295,1750
"497",6,"l1svm_ours()",241398137,1750
"498",6,"l1svm_their()",84662342,1750
"499",6,"l2svm_their()",1232813717,1750
"500",6,"l2svm_their()",1031173588,1750
"501",6,"l1svm_their()",35821368,1750
"502",6,"l1svm_ours()",164399231,1750
"503",6,"l1svm_their()",68836196,1750
"504",6,"l1svm_ours()",169794295,1750
"505",6,"l2svm_their()",1574616388,2000
"506",6,"l1svm_their()",91740915,2000
"507",6,"l1svm_their()",73635573,2000
"508",6,"l1svm_ours()",475734895,2000
"509",6,"l1svm_ours()",206377501,2000
"510",6,"l1svm_their()",55395546,2000
"511",6,"l1svm_ours()",269439112,2000
"512",6,"l2svm_their()",1181109588,2000
"513",6,"l2svm_their()",2168086312,2000
"514",6,"l1svm_their()",136497766,2250
"515",6,"l2svm_their()",1797802003,2250
"516",6,"l1svm_ours()",547321862,2250
"517",6,"l1svm_ours()",1271824008,2250
"518",6,"l2svm_their()",1895026145,2250
"519",6,"l1svm_their()",180902273,2250
"520",6,"l1svm_ours()",592919027,2250
"521",6,"l1svm_their()",198713588,2250
"522",6,"l2svm_their()",2891834696,2250
"523",6,"l1svm_their()",57102408,2500
"524",6,"l1svm_their()",89315815,2500
"525",6,"l1svm_ours()",254347621,2500
"526",6,"l2svm_their()",1302923886,2500
"527",6,"l2svm_their()",1119709057,2500
"528",6,"l2svm_their()",1142343801,2500
"529",6,"l1svm_ours()",209101121,2500
"530",6,"l1svm_ours()",205247417,2500
"531",6,"l1svm_their()",49727259,2500
"532",6,"l1svm_ours()",866678603,2750
"533",6,"l1svm_ours()",822587663,2750
"534",6,"l1svm_their()",250562189,2750
"535",6,"l2svm_their()",1253191250,2750
"536",6,"l2svm_their()",943258678,2750
"537",6,"l1svm_their()",193450095,2750
"538",6,"l1svm_their()",203511210,2750
"539",6,"l2svm_their()",966146235,2750
"540",6,"l1svm_ours()",941514970,2750
"541",6,"l2svm_their()",1182734804,3000
"542",6,"l1svm_their()",237950020,3000
"543",6,"l2svm_their()",1474529871,3000
"544",6,"l1svm_ours()",765838391,3000
"545",6,"l1svm_ours()",714865565,3000
"546",6,"l2svm_their()",1348106239,3000
"547",6,"l1svm_ours()",804053402,3000
"548",6,"l1svm_their()",270949084,3000
"549",6,"l1svm_their()",257272624,3000
"550",6,"l1svm_ours()",261320871,3250
"551",6,"l1svm_their()",66975724,3250
"552",6,"l1svm_their()",81993518,3250
"553",6,"l2svm_their()",1877121072,3250
"554",6,"l1svm_their()",84620035,3250
"555",6,"l2svm_their()",1654555992,3250
"556",6,"l1svm_ours()",253823145,3250
"557",6,"l2svm_their()",1721561759,3250
"558",6,"l1svm_ours()",419716347,3250
"559",6,"l2svm_their()",2445932335,3500
"560",6,"l1svm_ours()",1010516703,3500
"561",6,"l1svm_their()",225406386,3500
"562",6,"l2svm_their()",1806181539,3500
"563",6,"l2svm_their()",1485549364,3500
"564",6,"l1svm_ours()",802728027,3500
"565",6,"l1svm_ours()",795293508,3500
"566",6,"l1svm_their()",151974367,3500
"567",6,"l1svm_their()",182898792,3500
"568",6,"l2svm_their()",1731495804,3750
"569",6,"l1svm_their()",88287156,3750
"570",6,"l1svm_their()",83350889,3750
"571",6,"l1svm_their()",87322106,3750
"572",6,"l1svm_ours()",306643989,3750
"573",6,"l2svm_their()",2576650946,3750
"574",6,"l1svm_ours()",579706154,3750
"575",6,"l1svm_ours()",625559173,3750
"576",6,"l2svm_their()",2186566953,3750
"577",6,"l1svm_their()",162026624,4000
"578",6,"l1svm_ours()",539570503,4000
"579",6,"l2svm_their()",1262662775,4000
"580",6,"l2svm_their()",1001081712,4000
"581",6,"l1svm_ours()",510121216,4000
"582",6,"l1svm_their()",191687248,4000
"583",6,"l1svm_ours()",645806847,4000
"584",6,"l2svm_their()",1092622319,4000
"585",6,"l1svm_their()",157102012,4000
"586",7,"l2svm_their()",569513126,1000
"587",7,"l1svm_ours()",2472447861,1000
"588",7,"l1svm_their()",312732310,1000
"589",7,"l1svm_ours()",2408389842,1000
"590",7,"l2svm_their()",661185739,1000
"591",7,"l1svm_their()",624135611,1000
"592",7,"l1svm_ours()",1813705406,1000
"593",7,"l1svm_their()",566719664,1000
"594",7,"l2svm_their()",447131476,1000
"595",7,"l1svm_their()",97143637,1250
"596",7,"l2svm_their()",429792577,1250
"597",7,"l1svm_their()",96109116,1250
"598",7,"l1svm_ours()",402986447,1250
"599",7,"l1svm_ours()",685322288,1250
"600",7,"l1svm_ours()",698024270,1250
"601",7,"l2svm_their()",343422566,1250
"602",7,"l2svm_their()",508283226,1250
"603",7,"l1svm_their()",132964979,1250
"604",7,"l1svm_ours()",330829003,1500
"605",7,"l1svm_their()",98116987,1500
"606",7,"l1svm_their()",95397251,1500
"607",7,"l1svm_ours()",319389694,1500
"608",7,"l2svm_their()",407637057,1500
"609",7,"l1svm_ours()",356332178,1500
"610",7,"l1svm_their()",98694962,1500
"611",7,"l2svm_their()",433816468,1500
"612",7,"l2svm_their()",488168964,1500
"613",7,"l2svm_their()",1738092663,1750
"614",7,"l1svm_ours()",2007745405,1750
"615",7,"l2svm_their()",822714735,1750
"616",7,"l1svm_their()",314701186,1750
"617",7,"l1svm_ours()",1390369933,1750
"618",7,"l1svm_ours()",2025410691,1750
"619",7,"l2svm_their()",884932380,1750
"620",7,"l1svm_their()",225991568,1750
"621",7,"l1svm_their()",234760193,1750
"622",7,"l2svm_their()",1001988672,2000
"623",7,"l1svm_ours()",705959589,2000
"624",7,"l1svm_their()",148350487,2000
"625",7,"l1svm_ours()",1661655249,2000
"626",7,"l1svm_their()",404120489,2000
"627",7,"l1svm_ours()",1312899950,2000
"628",7,"l1svm_their()",189534771,2000
"629",7,"l2svm_their()",787334150,2000
"630",7,"l2svm_their()",670948176,2000
"631",7,"l1svm_their()",308978327,2250
"632",7,"l2svm_their()",1183621691,2250
"633",7,"l1svm_ours()",1672705083,2250
"634",7,"l1svm_ours()",1448774136,2250
"635",7,"l1svm_their()",231921485,2250
"636",7,"l1svm_ours()",1615876446,2250
"637",7,"l2svm_their()",1367471488,2250
"638",7,"l1svm_their()",250491776,2250
"639",7,"l2svm_their()",1769880049,2250
"640",7,"l1svm_their()",158547919,2500
"641",7,"l1svm_ours()",1639639343,2500
"642",7,"l1svm_their()",188422176,2500
"643",7,"l1svm_ours()",1036646678,2500
"644",7,"l2svm_their()",1059731283,2500
"645",7,"l1svm_their()",154175273,2500
"646",7,"l1svm_ours()",2120500430,2500
"647",7,"l2svm_their()",1054310116,2500
"648",7,"l2svm_their()",1043229159,2500
"649",7,"l2svm_their()",1467173625,2750
"650",7,"l1svm_ours()",1062184433,2750
"651",7,"l2svm_their()",1136234153,2750
"652",7,"l1svm_their()",193719542,2750
"653",7,"l1svm_their()",200139411,2750
"654",7,"l1svm_ours()",1062015573,2750
"655",7,"l2svm_their()",1314746162,2750
"656",7,"l1svm_ours()",1070899884,2750
"657",7,"l1svm_their()",203581540,2750
"658",7,"l1svm_their()",477858897,3000
"659",7,"l2svm_their()",1154049976,3000
"660",7,"l2svm_their()",1153460194,3000
"661",7,"l1svm_their()",239496207,3000
"662",7,"l1svm_ours()",805939053,3000
"663",7,"l2svm_their()",1407704498,3000
"664",7,"l1svm_ours()",818665776,3000
"665",7,"l1svm_their()",210047849,3000
"666",7,"l1svm_ours()",792861545,3000
"667",7,"l2svm_their()",1448308339,3250
"668",7,"l1svm_ours()",961087638,3250
"669",7,"l1svm_their()",237888968,3250
"670",7,"l2svm_their()",1422952483,3250
"671",7,"l1svm_ours()",985799310,3250
"672",7,"l1svm_their()",226260506,3250
"673",7,"l2svm_their()",1408344292,3250
"674",7,"l1svm_ours()",762719358,3250
"675",7,"l1svm_their()",235985303,3250
"676",7,"l1svm_their()",190861803,3500
"677",7,"l2svm_their()",959260731,3500
"678",7,"l1svm_ours()",427149654,3500
"679",7,"l1svm_ours()",362098416,3500
"680",7,"l1svm_their()",148125125,3500
"681",7,"l1svm_ours()",369739393,3500
"682",7,"l2svm_their()",1233793669,3500
"683",7,"l2svm_their()",2429459355,3500
"684",7,"l1svm_their()",418568427,3500
"685",7,"l1svm_ours()",2823804212,3750
"686",7,"l2svm_their()",1943621433,3750
"687",7,"l1svm_ours()",1107751264,3750
"688",7,"l1svm_their()",260465780,3750
"689",7,"l2svm_their()",1477765275,3750
"690",7,"l1svm_ours()",497400187,3750
"691",7,"l2svm_their()",975792963,3750
"692",7,"l1svm_their()",158737015,3750
"693",7,"l1svm_their()",179525337,3750
"694",7,"l1svm_ours()",952465468,4000
"695",7,"l1svm_their()",143345725,4000
"696",7,"l1svm_ours()",709565510,4000
"697",7,"l2svm_their()",878896454,4000
"698",7,"l1svm_their()",141442415,4000
"699",7,"l2svm_their()",877228067,4000
"700",7,"l1svm_their()",162610267,4000
"701",7,"l1svm_ours()",743545327,4000
"702",7,"l2svm_their()",911538961,4000
"703",8,"l2svm_their()",579488109,1000
"704",8,"l1svm_their()",35304886,1000
"705",8,"l2svm_their()",514806250,1000
"706",8,"l1svm_ours()",392416615,1000
"707",8,"l1svm_ours()",319070970,1000
"708",8,"l1svm_their()",65706276,1000
"709",8,"l1svm_ours()",239571874,1000
"710",8,"l2svm_their()",343576534,1000
"711",8,"l1svm_their()",48010687,1000
"712",8,"l2svm_their()",1057991665,1250
"713",8,"l2svm_their()",1114444261,1250
"714",8,"l1svm_their()",72818500,1250
"715",8,"l1svm_ours()",159680168,1250
"716",8,"l1svm_ours()",352773243,1250
"717",8,"l1svm_their()",43859193,1250
"718",8,"l2svm_their()",478801179,1250
"719",8,"l1svm_ours()",265196735,1250
"720",8,"l1svm_their()",67536314,1250
"721",8,"l2svm_their()",821698136,1500
"722",8,"l1svm_their()",126037785,1500
"723",8,"l1svm_their()",158208958,1500
"724",8,"l2svm_their()",760006883,1500
"725",8,"l1svm_ours()",402432242,1500
"726",8,"l1svm_their()",60940442,1500
"727",8,"l1svm_ours()",355726828,1500
"728",8,"l1svm_ours()",542625427,1500
"729",8,"l2svm_their()",734173712,1500
"730",8,"l2svm_their()",763102219,1750
"731",8,"l1svm_ours()",3818137921,1750
"732",8,"l2svm_their()",757070754,1750
"733",8,"l1svm_ours()",4374574840,1750
"734",8,"l1svm_their()",849497290,1750
"735",8,"l1svm_their()",719579042,1750
"736",8,"l2svm_their()",989522709,1750
"737",8,"l1svm_their()",1198227648,1750
"738",8,"l1svm_ours()",7239558763,1750
"739",8,"l2svm_their()",972014235,2000
"740",8,"l2svm_their()",885500506,2000
"741",8,"l1svm_ours()",815612464,2000
"742",8,"l1svm_their()",164811924,2000
"743",8,"l1svm_their()",126710077,2000
"744",8,"l1svm_ours()",393449672,2000
"745",8,"l1svm_their()",111051533,2000
"746",8,"l2svm_their()",1048993396,2000
"747",8,"l1svm_ours()",532535819,2000
"748",8,"l1svm_their()",152537960,2250
"749",8,"l1svm_their()",147232693,2250
"750",8,"l1svm_ours()",1058505080,2250
"751",8,"l2svm_their()",2328746839,2250
"752",8,"l1svm_ours()",1463511492,2250
"753",8,"l1svm_ours()",864553013,2250
"754",8,"l1svm_their()",165712787,2250
"755",8,"l2svm_their()",1610595629,2250
"756",8,"l2svm_their()",1971087482,2250
"757",8,"l2svm_their()",888760876,2500
"758",8,"l1svm_their()",105996528,2500
"759",8,"l1svm_ours()",405390856,2500
"760",8,"l1svm_ours()",574753200,2500
"761",8,"l1svm_ours()",563752809,2500
"762",8,"l1svm_their()",112268776,2500
"763",8,"l1svm_their()",115818185,2500
"764",8,"l2svm_their()",902749587,2500
"765",8,"l2svm_their()",872034217,2500
"766",8,"l1svm_ours()",979168187,2750
"767",8,"l1svm_their()",239773541,2750
"768",8,"l2svm_their()",1258595117,2750
"769",8,"l1svm_ours()",1047978738,2750
"770",8,"l1svm_their()",247172801,2750
"771",8,"l2svm_their()",1016139506,2750
"772",8,"l2svm_their()",1333121994,2750
"773",8,"l1svm_their()",253110431,2750
"774",8,"l1svm_ours()",1333611683,2750
"775",8,"l1svm_their()",241384754,3000
"776",8,"l1svm_ours()",797226338,3000
"777",8,"l1svm_their()",228285006,3000
"778",8,"l1svm_their()",209772347,3000
"779",8,"l2svm_their()",1204588936,3000
"780",8,"l1svm_ours()",813766957,3000
"781",8,"l2svm_their()",956819703,3000
"782",8,"l2svm_their()",1029319724,3000
"783",8,"l1svm_ours()",864403606,3000
"784",8,"l1svm_ours()",1171069017,3250
"785",8,"l2svm_their()",2130946848,3250
"786",8,"l2svm_their()",2915759967,3250
"787",8,"l2svm_their()",2429802358,3250
"788",8,"l1svm_their()",278517265,3250
"789",8,"l1svm_ours()",1153010728,3250
"790",8,"l1svm_their()",231016353,3250
"791",8,"l1svm_their()",247877200,3250
"792",8,"l1svm_ours()",1239471931,3250
"793",8,"l1svm_their()",305511043,3500
"794",8,"l1svm_their()",375703663,3500
"795",8,"l1svm_their()",484415185,3500
"796",8,"l1svm_ours()",1425535748,3500
"797",8,"l2svm_their()",2310321889,3500
"798",8,"l1svm_ours()",1542665150,3500
"799",8,"l1svm_ours()",1120976593,3500
"800",8,"l2svm_their()",1482148193,3500
"801",8,"l2svm_their()",1233964260,3500
"802",8,"l1svm_their()",78714942,3750
"803",8,"l2svm_their()",1280617804,3750
"804",8,"l1svm_ours()",329594426,3750
"805",8,"l2svm_their()",1039222602,3750
"806",8,"l1svm_ours()",330577821,3750
"807",8,"l2svm_their()",1553929716,3750
"808",8,"l1svm_their()",116460427,3750
"809",8,"l1svm_their()",110453384,3750
"810",8,"l1svm_ours()",316772780,3750
"811",8,"l1svm_ours()",687464956,4000
"812",8,"l1svm_their()",137970284,4000
"813",8,"l2svm_their()",845580626,4000
"814",8,"l2svm_their()",1115582971,4000
"815",8,"l1svm_ours()",710516476,4000
"816",8,"l1svm_their()",142244776,4000
"817",8,"l2svm_their()",1100992388,4000
"818",8,"l1svm_ours()",825800727,4000
"819",8,"l1svm_their()",148470971,4000
